id,name,description,category,address,suburb,state,postcode,latitude,longitude,phone,email,website,hours,eligibility,cost,source_id,source_name,source_organisation,source_jurisdiction,source_license,source_url,source_date
osm_social_facilities_0000,ACT Emergency Services,Social Facility,community,,,VIC,,-35.3230733,149.0780808,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0001,Forest Hill Hall,Community Centre,community,,,VIC,,-37.8352191,145.1736916,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0002,Uniting,Social Facility,community,Mount Dandenong Road,Croydon,VIC,3136,-37.7986369,145.2799468,+61 3 9724 2222,,https://www.unitingvictas.org.au/,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0003,Department of Human Services,Social Facility,community,,,VIC,,-35.1845319,149.1348799,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0004,Tonimbuk Public Hall,Community Centre,community,,,VIC,,-38.0067395,145.7165829,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0005,Municipal Hall,Community Centre,community,,,VIC,,-38.2413684,142.9153211,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0006,School of Arts - Rand Hall,Community Centre,community,,,VIC,,-35.5936832,146.5785078,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0008,Lions Village Torquay,Assisted Living,community,,,VIC,,-38.3244211,144.3161692,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0009,Clifton Co-op,NGO,community,,,VIC,,-37.7822837,144.9899063,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0010,MyWay Centre,Social Facility,community,,,VIC,,-35.2786717,149.1301078,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
osm_social_facilities_0011,Loch Community Centre,Community Centre,community,,,VIC,,-38.3698179,145.7073155,,,,,,,osm_social_facilities,OpenStreetMap Social Facilities,OpenStreetMap contributors,national,ODbL,https://www.openstreetmap.org,2026-04-14
